iter	Passed	Remaining
0	5	5077
1	8	4449
2	12	4273
3	17	4240
4	21	4233
5	24	4140
6	28	4093
7	32	4071
8	36	4021
9	40	3985
10	43	3940
11	47	3904
12	51	3889
13	55	3884
14	59	3884
15	62	3872
16	66	3844
17	70	3835
18	73	3820
19	77	3790
20	81	3780
21	84	3767
22	88	3752
23	91	3738
24	95	3727
25	99	3722
26	102	3707
27	106	3705
28	110	3694
29	113	3681
30	117	3672
31	121	3673
32	125	3665
33	128	3664
34	132	3665
35	136	3661
36	140	3650
37	143	3638
38	147	3634
39	151	3641
40	155	3640
41	158	3623
42	162	3625
43	166	3621
44	170	3608
45	173	3597
46	177	3590
47	180	3581
48	184	3580
49	188	3584
50	193	3592
51	196	3580
52	200	3580
53	203	3571
54	207	3567
55	210	3556
56	214	3551
57	218	3554
58	222	3551
59	226	3545
60	230	3547
61	234	3545
62	237	3539
63	241	3529
64	245	3527
65	248	3520
66	253	3525
67	257	3523
68	260	3513
69	264	3511
70	267	3503
71	271	3499
72	275	3500
73	279	3492
74	283	3493
75	287	3496
76	291	3493
77	295	3492
78	300	3506
79	304	3501
80	308	3498
81	311	3491
82	315	3487
83	319	3480
84	323	3481
85	327	3475
86	330	3472
87	335	3475
88	338	3468
89	343	3471
90	348	3483
91	353	3484
92	356	3479
93	360	3471
94	373	3556
95	376	3549
96	381	3546
97	385	3548
98	389	3548
99	395	3555
100	399	3554
101	402	3546
102	407	3548
103	412	3556
104	417	3561
105	423	3567
106	428	3578
107	434	3587
108	440	3597
109	444	3594
110	448	3593
111	454	3601
112	458	3597
113	461	3590
114	466	3590
115	471	3593
116	475	3586
117	478	3579
118	482	3575
119	487	3571
120	491	3567
121	494	3559
122	498	3555
123	502	3553
124	506	3548
125	510	3542
126	514	3537
127	518	3533
128	522	3527
129	526	3520
130	529	3514
131	533	3511
132	538	3507
133	541	3502
134	545	3495
135	549	3491
136	553	3486
137	557	3481
138	561	3476
139	565	3472
140	568	3465
141	573	3462
142	576	3457
143	580	3451
144	585	3454
145	590	3451
146	593	3444
147	597	3440
148	602	3438
149	605	3433
150	609	3428
151	613	3422
152	618	3425
153	622	3420
154	626	3416
155	631	3416
156	635	3411
157	639	3406
158	643	3401
159	647	3397
160	651	3393
161	654	3388
162	659	3384
163	662	3378
164	666	3372
165	669	3365
166	673	3360
167	677	3355
168	681	3350
